category,total_postings,avg_share_pct,share_first_half_pct,share_second_half_pct,change_pct,daily_slope_ppt,r_squared,p_value,significant_fdr
Web Development,29792,12.385772416114772,12.229939786019587,12.54980676358339,2.6154419658668493,0.020414529731577095,0.13126707496673182,0.023413407735180684,False
Digital Marketing,24125,10.037240813494778,9.857075768003048,10.226888229801856,3.751746161871372,0.014885797100565904,0.13520418246254667,0.021283432777139073,False
Video & Animation,18365,7.690695913114326,7.616130808909824,7.76918549648749,2.0096121169375536,0.009516486265051732,0.045757532903561465,0.19100875541153697,False
E-commerce,12369,5.159053201560107,5.093460125712153,5.228098544557953,2.643358650559291,0.008727802147358112,0.08404783814358575,0.07341359266243443,False
Design & Creative,30509,12.711504541842666,12.56298092809802,12.867845187889667,2.426687276980566,0.008546038559088918,0.030547851139178052,0.2872367100049998,False
Other / Uncategorised,23745,9.886692433132536,9.900711435429812,9.871935588609091,-0.2906442330774972,0.0066978768031111195,0.023488753683534477,0.3516000974702128,False
Data Science & Analytics,13175,5.48967067661836,5.42534137974116,5.557385725962782,2.433844010529751,0.006359245371517208,0.04690590750838569,0.18540214981596578,False
Sales & Business Development,10447,4.311620385523547,4.236171240345063,4.391040538343004,3.655879075967805,0.006310884791687871,0.03827011201612608,0.23266624090892604,False
Software & IT,16314,6.7717960935841575,6.738600880097087,6.80673842357055,1.011152681185079,0.0034009288717737405,0.010002555108256091,0.5446604813973773,False
Project Management,2119,0.8712071859333502,0.8235936201163502,0.9213267288986134,11.866666568939221,0.0033356533761854596,0.08518580757669376,0.07140659834073115,False
Mobile Development,10413,4.340745006304309,4.3236771503883205,4.358711170426401,0.8102829794989219,0.0031517785922241365,0.011068748725476824,0.5238508392025819,False
HR & Recruitment,1591,0.6521486510978396,0.6101048954243058,0.6964052360173489,14.145164420132117,0.0029958356236337302,0.05987734393005779,0.13326435647928966,False
Game Development,1338,0.5583835338367603,0.5274744818049798,0.59091937808074,12.028050353953867,0.002991659879899696,0.0915110305052258,0.061231531380769755,False
Finance & Accounting,5256,2.1679114582800465,2.150492252740118,2.1862474641115512,1.66265241485406,0.0022137917034959565,0.012919040212896847,0.4908470301240949,False
Real Estate,1379,0.5631816155179133,0.5473124191923926,0.5798860327026717,5.951557532413454,0.0017309147774357313,0.030975936741202848,0.28383153099367936,False
Legal,1863,0.7706788352856266,0.7614423463415456,0.780401455226764,2.489894208840626,0.000665870186201463,0.003960185909550928,0.7035082330702912,False
Business & Consulting,2880,1.1947341019756355,1.1729551621899892,1.2176593017500001,3.811240275932204,0.0006027088003442228,0.0023544790746239984,0.769262593804403,False
Engineering & Manufacturing,1069,0.44385179685553794,0.4415497113752652,0.44627504472950924,1.0701701829962218,0.00016719786554252123,0.00036440085698349856,0.9081722232802866,False
Research & Survey,3245,1.3395544801839405,1.371910795560632,1.3054952008400553,-4.841101545048776,-0.00198555512481324,0.024728336385840093,0.3390438926853431,False
Audio & Music,2114,0.8824166985210756,0.9313127666825072,0.8309471530879895,-10.776789193176949,-0.003995472502133093,0.08422499746327759,0.07309737358035462,False
Admin & Customer Support,8765,3.6185129163056335,3.849689834911764,3.375168791457075,-12.326214936886348,-0.0264487284607177,0.2690866783414697,0.0007163013642192098,True
Writing & Translation,19675,8.152627244917078,8.828072210916076,7.4416325438655,-15.704897217947721,-0.0702852443590306,0.44342056373170563,3.7213810596260417e-06,True
